idna_subject,checker_type,destination,source,tested_at,session_id
[adblock,AVAILABILITY,origin.list,origin.list,2021-07-04 00:01:50.602256,c3f136bc7762597115ee6d1e
plus,AVAILABILITY,origin.list,origin.list,2021-07-04 00:01:54.763762,c3f136bc7762597115ee6d1e
2.8],AVAILABILITY,origin.list,origin.list,2021-07-04 00:01:58.028614,c3f136bc7762597115ee6d1e
!,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:01.290641,c3f136bc7762597115ee6d1e
version:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:04.553664,c3f136bc7762597115ee6d1e
title:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:07.815895,c3f136bc7762597115ee6d1e
x,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:11.967109,c3f136bc7762597115ee6d1e
files:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:15.229741,c3f136bc7762597115ee6d1e
hws,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:19.318568,c3f136bc7762597115ee6d1e
harmful,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:23.468529,c3f136bc7762597115ee6d1e
websites,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:27.621196,c3f136bc7762597115ee6d1e
blocca,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:31.714916,c3f136bc7762597115ee6d1e
siti,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:35.806616,c3f136bc7762597115ee6d1e
web,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:39.898270,c3f136bc7762597115ee6d1e
potenzialmente,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:43.984734,c3f136bc7762597115ee6d1e
dannosi,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:48.077639,c3f136bc7762597115ee6d1e
per,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:52.167724,c3f136bc7762597115ee6d1e
la,AVAILABILITY,origin.list,origin.list,2021-07-04 00:02:56.276203,c3f136bc7762597115ee6d1e
tua,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:00.362629,c3f136bc7762597115ee6d1e
navigazione,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:04.452945,c3f136bc7762597115ee6d1e
last,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:08.543146,c3f136bc7762597115ee6d1e
modified:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:11.804814,c3f136bc7762597115ee6d1e
expires:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:15.067645,c3f136bc7762597115ee6d1e
days,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:19.158703,c3f136bc7762597115ee6d1e
homepage:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:22.420942,c3f136bc7762597115ee6d1e
https://xfiles.noads.it,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:27.973780,c3f136bc7762597115ee6d1e
home:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:31.236306,c3f136bc7762597115ee6d1e
blog:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:34.499445,c3f136bc7762597115ee6d1e
hosting:,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:37.761550,c3f136bc7762597115ee6d1e
acinutrilife.com/test/personal_zone/special_cloud/763g43ch2zeetc_z5038ss7/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:41.024128,c3f136bc7762597115ee6d1e
aci.serabd.com/aci/Document/dqg717m1/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:44.285843,c3f136bc7762597115ee6d1e
aeroasia-interior.com/cgi-bin/multifunctional-section/corporate-warehouse/873955838570-NdrzVDgktL3zda/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:47.547210,c3f136bc7762597115ee6d1e
agacenter.ro/wp-admin/kh9-nhd-95338/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:50.808636,c3f136bc7762597115ee6d1e
agtrade.hu/images/FILE/guiex92647391090439xam98iglqqhui/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:54.072173,c3f136bc7762597115ee6d1e
aistidafa.com/ar/payment/lvat7ei2tf1/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:03:57.333641,c3f136bc7762597115ee6d1e
alaksir.com/Scripts/TW6LJpx/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:00.596197,c3f136bc7762597115ee6d1e
alarmnet.ph/jscripts/multifunctional-995252059-LB3dQXa8iP46rrf2/verifiable-area/38389030029-nwGsfAPYIqNN4HbL/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:03.858558,c3f136bc7762597115ee6d1e
alfaltda.cl/cgi-bin/OCT/f33d20/r68jg11798877829093838dy5g04ba3y3w30m/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:07.121099,c3f136bc7762597115ee6d1e
almgaard.nl/images/public/mbr3it650632v1q6ln390dze7w/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:10.383725,c3f136bc7762597115ee6d1e
alpena.com.tr/acm/Scan/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:13.645842,c3f136bc7762597115ee6d1e
altimira.es/img/32-d6uvn-66/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:16.907963,c3f136bc7762597115ee6d1e
ammonhair.nl/cerrado/a7dkhtq_poapk4wyi_matriz/5uud_yOV4uh4/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:20.170566,c3f136bc7762597115ee6d1e
anprax.com/wp-content/fsp-f1yna-099/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:23.433919,c3f136bc7762597115ee6d1e
aperfectimage.pl/arcreative_2/swift/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:26.695609,c3f136bc7762597115ee6d1e
arcapps.org/exceledu/parts_service/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:29.957360,c3f136bc7762597115ee6d1e
ariefsetiawan.com/emakbelajarmasak.com/payment/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:33.219527,c3f136bc7762597115ee6d1e
arizonaonsale.com/cgi-bin/VuM64/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:36.481822,c3f136bc7762597115ee6d1e
armadalecfc.com/wp-admin/parts_service/z8kdwyil7/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:39.743695,c3f136bc7762597115ee6d1e
arpaco.com.pk/cgi-bin/balance/,AVAILABILITY,origin.list,origin.list,2021-07-04 00:04:43.004933,c3f136bc7762597115ee6d1e
